x,y,label,showSelected,PANEL,group
0.811010288304243,0.0454545454545454,Gene.symbol = Bex1,Bex1,1,1852
0.811010288304243,0.0454545454545454,Gene.symbol = Ctsz,Ctsz,1,2851
0.811010288304243,0.0454545454545454,Gene.symbol = Col1a2,Col1a2,1,2651
0.811010288304243,0.0454545454545454,Gene.symbol = Sim2,Sim2,1,8186
0.811010288304243,0.0454545454545454,Gene.symbol = Fgf7,Fgf7,1,3942
0.811010288304243,0.0454545454545454,Gene.symbol = Phgdh,Phgdh,1,6917
0.811010288304243,0.0454545454545454,Gene.symbol = Ppbp,Ppbp,1,7170
0.811010288304243,0.0454545454545454,Gene.symbol = Tnnt2,Tnnt2,1,9264
0.811010288304243,0.0454545454545454,Gene.symbol = Lhx2,Lhx2,1,5463
0.811010288304243,0.0454545454545454,Gene.symbol = Dnm3os,Dnm3os,1,3304
0.811010288304243,0.0454545454545454,Gene.symbol = Aqp5,Aqp5,1,1415
0.811010288304243,0.0454545454545454,Gene.symbol = Tenm3,Tenm3,1,8954
0.811010288304243,0.0454545454545454,Gene.symbol = Tgfbi,Tgfbi,1,8996
0.811010288304243,0.0454545454545454,Gene.symbol = Zic1,Zic1,1,10194
0.811010288304243,0.0454545454545454,Gene.symbol = Osmr,Osmr,1,6625
0.811010288304243,0.0454545454545454,Gene.symbol = C1qtnf3,C1qtnf3,1,1975
0.811010288304243,0.0454545454545454,Gene.symbol = Fam198b,Fam198b,1,3799
0.811010288304243,0.0454545454545454,Gene.symbol = Sash1,Sash1,1,7939
0.811010288304243,0.0454545454545454,Gene.symbol = Pdgfra,Pdgfra,1,6816
0.811010288304243,0.0454545454545454,Gene.symbol = Ereg,Ereg,1,3640
0.811010288304243,0.0454545454545454,Gene.symbol = Lox,Lox,1,5542
0.811010288304243,0.0454545454545454,Gene.symbol = Sdpr,Sdpr,1,8009
0.811010288304243,0.0454545454545454,Gene.symbol = Trim25,Trim25,1,9362
0.811010288304243,0.0454545454545454,Gene.symbol = Medag,Medag,1,5826
0.811010288304243,0.0454545454545454,Gene.symbol = Bgn,Bgn,1,1855
0.811010288304243,0.0454545454545454,Gene.symbol = Bmper,Bmper,1,1886
0.811010288304243,0.0454545454545454,Gene.symbol = Thbs2,Thbs2,1,9011
0.811010288304243,0.0454545454545454,Gene.symbol = Lrp2,Lrp2,1,5571
0.811010288304243,0.0454545454545454,Gene.symbol = Ddr2,Ddr2,1,3128
0.811010288304243,0.0454545454545454,Gene.symbol = Ptgs1,Ptgs1,1,7397
0.811010288304243,0.0454545454545454,Gene.symbol = Cdh11,Cdh11,1,2342
0.811010288304243,0.0454545454545454,Gene.symbol = Meg3,Meg3,1,5829
0.811010288304243,0.0454545454545454,Gene.symbol = Dcn,Dcn,1,3100
0.811010288304243,0.0454545454545454,Gene.symbol = Cxcr7,Cxcr7,1,2883
0.811010288304243,0.0454545454545454,Gene.symbol = Cxcl1,Cxcl1,1,2876
0.811010288304243,0.0454545454545454,Gene.symbol = Igfbp4,Igfbp4,1,4939
0.811010288304243,0.0454545454545454,Gene.symbol = Dlk1,Dlk1,1,3242
0.811010288304243,0.0454545454545454,Gene.symbol = Rnase4,Rnase4,1,7751
0.811010288304243,0.0454545454545454,Gene.symbol = Ly6a,Ly6a,1,5633
0.811010288304243,0.0454545454545454,Gene.symbol = Cadm1,Cadm1,1,2073
0.811010288304243,0.0454545454545454,Gene.symbol = Mgp,Mgp,1,5888
0.811010288304243,0.0454545454545454,Gene.symbol = Prkar1b,Prkar1b,1,7265
0.811010288304243,0.0454545454545454,Gene.symbol = Glipr1,Glipr1,1,4246
0.811010288304243,0.0454545454545454,Gene.symbol = Sorbs2,Sorbs2,1,8516
0.811010288304243,0.0454545454545454,Gene.symbol = Eva1b,Eva1b,1,3678
0.811010288304243,0.0454545454545454,Gene.symbol = Stat6,Stat6,1,8702
0.811010288304243,0.0454545454545454,Gene.symbol = Acpl2,Acpl2,1,1045
0.811010288304243,0.0454545454545454,Gene.symbol = Tnfaip2,Tnfaip2,1,9234
0.811010288304243,0.0454545454545454,Gene.symbol = Slc22a23,Slc22a23,1,8247
0.811010288304243,0.0454545454545454,Gene.symbol = Tgfbr3,Tgfbr3,1,8999
0.811010288304243,0.0454545454545454,Gene.symbol = Col1a1,Col1a1,1,2650
0.811010288304243,0.0454545454545454,Gene.symbol = AW551984,AW551984,1,1685
0.811010288304243,0.0454545454545454,Gene.symbol = Tspan7,Tspan7,1,9453
0.811010288304243,0.0454545454545454,Gene.symbol = Klhl30,Klhl30,1,5304
0.811010288304243,0.0454545454545454,Gene.symbol = Pax6,Pax6,1,6738
0.811010288304243,0.0454545454545454,Gene.symbol = Ms4a4d,Ms4a4d,1,6048
0.811010288304243,0.0454545454545454,Gene.symbol = Pdpn,Pdpn,1,6835
0.811010288304243,0.0454545454545454,Gene.symbol = Mmp2,Mmp2,1,5950
0.811010288304243,0.0454545454545454,Gene.symbol = Olfm1,Olfm1,1,6573
0.811010288304243,0.0454545454545454,Gene.symbol = Maf,Maf,1,5661
0.811010288304243,0.0454545454545454,Gene.symbol = Tubb2b,Tubb2b,1,9510
0.811010288304243,0.0454545454545454,Gene.symbol = S1pr3,S1pr3,1,7916
0.811010288304243,0.0454545454545454,Gene.symbol = Arsj,Arsj,1,1521
0.811010288304243,0.0454545454545454,Gene.symbol = Emb,Emb,1,3550
0.811010288304243,0.0454545454545454,Gene.symbol = Pdzrn3,Pdzrn3,1,6848
0.811010288304243,0.0454545454545454,Gene.symbol = Hoxa9,Hoxa9,1,4786
0.811010288304243,0.0454545454545454,Gene.symbol = Tuba4a,Tuba4a,1,9507
0.811010288304243,0.0454545454545454,Gene.symbol = Plagl1,Plagl1,1,7016
0.811010288304243,0.0454545454545454,Gene.symbol = Epb4.1l4a,Epb4.1l4a,1,3598
0.811010288304243,0.0454545454545454,Gene.symbol = Cxadr,Cxadr,1,2875
0.811010288304243,0.0454545454545454,Gene.symbol = Atp6v0e2,Atp6v0e2,1,1609
0.811010288304243,0.0454545454545454,Gene.symbol = Megf10,Megf10,1,5830
0.811010288304243,0.0454545454545454,Gene.symbol = Bag3,Bag3,1,1742
0.811010288304243,0.0454545454545454,Gene.symbol = Ly6e,Ly6e,1,5634
0.811010288304243,0.0454545454545454,Gene.symbol = Id4,Id4,1,4887
0.811010288304243,0.0454545454545454,Gene.symbol = Ltbr,Ltbr,1,5624
0.811010288304243,0.0454545454545454,Gene.symbol = Mgst1,Mgst1,1,5890
0.811010288304243,0.0454545454545454,Gene.symbol = Lrrc17,Lrrc17,1,5582
0.811010288304243,0.0454545454545454,Gene.symbol = Id1,Id1,1,4884
0.811010288304243,0.0454545454545454,Gene.symbol = Scarf2,Scarf2,1,7965
0.811010288304243,0.0454545454545454,Gene.symbol = Sox2,Sox2,1,8527
0.811010288304243,0.0454545454545454,Gene.symbol = Cth,Cth,1,2833
0.811010288304243,0.0454545454545454,Gene.symbol = Il13ra1,Il13ra1,1,4970
0.811010288304243,0.0454545454545454,Gene.symbol = Pawr,Pawr,1,6734
0.811010288304243,0.0454545454545454,Gene.symbol = Igfbp5,Igfbp5,1,4940
0.811010288304243,0.0454545454545454,Gene.symbol = Bicc1,Bicc1,1,1860
0.811010288304243,0.0454545454545454,Gene.symbol = Aspn,Aspn,1,1544
0.811010288304243,0.0454545454545454,Gene.symbol = Lhx1,Lhx1,1,5462
0.811010288304243,0.0454545454545454,Gene.symbol = Fhl1,Fhl1,1,3955
0.811010288304243,0.0454545454545454,Gene.symbol = Ctgf,Ctgf,1,2832
0.811010288304243,0.0454545454545454,Gene.symbol = Pou3f3,Pou3f3,1,7155
0.811010288304243,0.0454545454545454,Gene.symbol = Sall1,Sall1,1,7923
0.811010288304243,0.0454545454545454,Gene.symbol = F2rl1,F2rl1,1,3713
0.811010288304243,0.0454545454545454,Gene.symbol = Tagln,Tagln,1,8847
0.811010288304243,0.0454545454545454,Gene.symbol = Hoxa10,Hoxa10,1,4778
0.811010288304243,0.0454545454545454,Gene.symbol = Nr2f1,Nr2f1,1,6455
0.811010288304243,0.0454545454545454,Gene.symbol = Cldn9,Cldn9,1,2562
0.811010288304243,0.0454545454545454,Gene.symbol = Ptx3,Ptx3,1,7443
0.811010288304243,0.0454545454545454,Gene.symbol = Rps6ka6,Rps6ka6,1,7856
0.811010288304243,0.0454545454545454,Gene.symbol = Pde8b,Pde8b,1,6812
0.811010288304243,0.0454545454545454,Gene.symbol = Map2,Map2,1,5698
0.811010288304243,0.0454545454545454,Gene.symbol = Has2,Has2,1,4646
0.811010288304243,0.0454545454545454,Gene.symbol = Aebp1,Aebp1,1,1138
0.811010288304243,0.0454545454545454,Gene.symbol = Sprr1a,Sprr1a,1,8596
0.811010288304243,0.0454545454545454,Gene.symbol = Cdkn1c,Cdkn1c,1,2372
0.811010288304243,0.0454545454545454,Gene.symbol = Ripk3,Ripk3,1,7742
0.811010288304243,0.0454545454545454,Gene.symbol = Ndnf,Ndnf,1,6269
0.811010288304243,0.0454545454545454,Gene.symbol = Mpg,Mpg,1,5984
0.811010288304243,0.0454545454545454,Gene.symbol = Cd82,Cd82,1,2303
0.811010288304243,0.0454545454545454,Gene.symbol = Hipk2,Hipk2,1,4725
0.811010288304243,0.0454545454545454,Gene.symbol = Ppm1e,Ppm1e,1,7189
0.811010288304243,0.0454545454545454,Gene.symbol = Myo1b,Myo1b,1,6167
0.811010288304243,0.0454545454545454,Gene.symbol = Cryab,Cryab,1,2790
0.811010288304243,0.0454545454545454,Gene.symbol = Foxc1,Foxc1,1,4016
0.811010288304243,0.0454545454545454,Gene.symbol = Errfi1,Errfi1,1,3653
0.811010288304243,0.0454545454545454,Gene.symbol = Blnk,Blnk,1,1874
0.811010288304243,0.0454545454545454,Gene.symbol = Hsd17b11,Hsd17b11,1,4823
0.811010288304243,0.0454545454545454,Gene.symbol = Capn6,Capn6,1,2112
0.811010288304243,0.0454545454545454,Gene.symbol = Scrn1,Scrn1,1,7989
0.811010288304243,0.0454545454545454,Gene.symbol = Slc20a1,Slc20a1,1,8241
0.811010288304243,0.0454545454545454,Gene.symbol = 9930013L23Rik,9930013L23Rik,1,874
0.811010288304243,0.0454545454545454,Gene.symbol = Adm,Adm,1,1120
0.811010288304243,0.0454545454545454,Gene.symbol = Plcb4,Plcb4,1,7026
0.811010288304243,0.0454545454545454,Gene.symbol = Tcf7,Tcf7,1,8917
0.811010288304243,0.0454545454545454,Gene.symbol = Ptgis,Ptgis,1,7394
0.811010288304243,0.0454545454545454,Gene.symbol = Bnc1,Bnc1,1,1892
0.811010288304243,0.0454545454545454,Gene.symbol = Kif5c,Kif5c,1,5270
0.811010288304243,0.0454545454545454,Gene.symbol = Trps1,Trps1,1,9423
0.811010288304243,0.0454545454545454,Gene.symbol = Kif16b,Kif16b,1,5252
0.811010288304243,0.0454545454545454,Gene.symbol = Selm,Selm,1,8030
0.811010288304243,0.0454545454545454,Gene.symbol = Podxl,Podxl,1,7119
0.811010288304243,0.0454545454545454,Gene.symbol = Loxl1,Loxl1,1,5543
0.811010288304243,0.0454545454545454,Gene.symbol = Unc5b,Unc5b,1,9640
0.811010288304243,0.0454545454545454,Gene.symbol = Slc7a2,Slc7a2,1,8361
